Code,Subdivision name ,Subdivision category
TT-CTT,Couva–Tabaquite–Talparo,region
TT-DMN,Diego Martin,region
TT-MRC,Mayaro-Rio Claro,region
TT-PED,Penal-Debe,region
TT-PRT,Princes Town,region
TT-SJL,San Juan-Laventille,region
TT-SGE,Sangre Grande,region
TT-SIP,Siparia,region
TT-TUP,Tunapuna-Piarco,region
TT-ARI,Arima,municipality
TT-CHA,Chaguanas,municipality
TT-PTF,Point Fortin,municipality
TT-POS,Port of Spain,municipality
TT-SFO,San Fernando,municipality
TT-TOB,Tobago,ward
