Code,Subdivision Name (nl,Subdivision Name 
NL-DR,Drenthe,Drenthe
NL-FL,Flevoland,Flevoland
NL-FR,Fryslân,Friesland
NL-GE,Gelderland,Gelderland
NL-GR,Groningen,Groningen
NL-LI,Limburg,Limburg
NL-NB,Noord-Brabant,North Brabant
NL-NH,Noord-Holland,North Holland
NL-OV,Overijssel,Overijssel
NL-UT,Utrecht,Utrecht
NL-ZE,Zeeland,Zeeland
NL-ZH,Zuid-Holland,South Holland
