Code,Subdivision name ,Subdivision category
NE-8,Niamey,urban community
NE-1,Agadez,region
NE-2,Diffa,region
NE-3,Dosso,region
NE-4,Maradi,region
NE-5,Tahoua,region
NE-6,Tillabéri,region
NE-7,Zinder,region
