Language family,ISO language name,Native name (endonym),639-1,639-2/T,639-2/B,639-3,Notes
Northwest Caucasian,Abkhazian,аҧсуа бызшәа аҧсшәа,ab,abk,abk,abk,also known as Abkhaz
Afro-Asiatic,Afar,Afaraf,aa,aar,aar,aar,
Indo-European,Afrikaans,Afrikaans,af,afr,afr,afr,
Niger–Congo,Akan,Akan,ak,aka,aka,aka + , 
Indo-European,Albanian,Shqip,sq,sqi,,sqi + ," ""Albanian Phylozone"" in 639-6"
Afro-Asiatic,Amharic,አማርኛ,am,amh,amh,amh,
Afro-Asiatic,Arabic,,ar,ara,ara,ara + , 
Indo-European,Aragonese,aragonés,an,arg,arg,arg,
Indo-European,Armenian,Հայերեն,hy,hye,,hye,"also known as Հայերէն; ISO 639-3 code ""hye"" is for Eastern Armenian ""hyw"" is for Western Armenian and ""xcl"" is for Classical Armenian"
Indo-European,Assamese,অসমীয়�?as,asm,asm,asm,,
Northeast Caucasian,Avaric,авар мацӀ магӀарул мацӀ,av,ava,ava,ava,also known as Avar
Indo-European,Avestan,avesta,ae,ave,ave,ave,ancient
Aymaran,Aymara,aymar aru,ay,aym,aym,aym + ,macrolanguage
Turkic,Azerbaijani,azərbaycan dili,az,aze,aze,aze + ,macrolanguage
Niger–Congo,Bambara,bamanankan,bm,bam,bam,bam,
Turkic,Bashkir,башҡорт теле,ba,bak,bak,bak,
Language isolate,Basque,euskara euskera,eu,eus,,eus,
Indo-European,Belarusian,беларуская мова,be,bel,bel,bel,
Indo-European,Bengali,বাংল�?bn,ben,ben,ben,also known as Bangla,
Indo-European,Bihari languages,भोजपुरी,bh,bih,bih,,collective language code for 
Creole,Bislama,Bislama,bi,bis,bis,bis,Language formed from English and Ni-Vanuatu with some French influence.
Indo-European,Bosnian,bosanski jezik,bs,bos,bos,bos,
Indo-European,Breton,brezhoneg,br,bre,bre,bre,
Indo-European,Bulgarian,български език,bg,bul,bul,bul,
Sino-Tibetan,Burmese,ဗမာစ�?my,mya,,mya,,
Indo-European, Valencian,català valencià,ca,cat,cat,cat,
Austronesian,Chamorro,Chamoru,ch,cha,cha,cha,
Northeast Caucasian,Chechen,нохчийн мотт,ce,che,che,che,
Niger–Congo, Chewa Nyanja,chiCheŵa chinyanja,ny,nya,nya,nya,
Sino-Tibetan,Chinese, (Zhōngwén) ,zh,zho,,zho + ,macrolanguage
Turkic,Chuvash,чӑваш чӗлхи,cv,chv,chv,chv,
Indo-European,Cornish,Kernewek,kw,cor,cor,cor,
Indo-European,Corsican,corsu lingua corsa,co,cos,cos,cos,
Algonquian,Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr,cre,cre,cre + ,macrolanguage
Indo-European,Croatian,hrvatski jezik,hr,hrv,hrv,hrv,
Indo-European,Czech,čeština český jazyk,cs,ces,,ces,
Indo-European,Danish,dansk,da,dan,dan,dan,
Indo-European, Dhivehi Maldivian,,dv,div,div,div,
Indo-European, Flemish,Nederlands Vlaams,nl,nld,,nld,
Sino-Tibetan,Dzongkha,རྫོང་ཁ,dz,dzo,dzo,dzo,
Indo-European,English,English,en,eng,eng,eng,
Constructed,Esperanto,Esperanto,eo,epo,epo,epo, initiated from L.L. Zamenhof 1887
Uralic,Estonian,eesti eesti keel,et,est,est,est + ,macrolanguage
Niger–Congo,Ewe,Eʋegbe,ee,ewe,ewe,ewe,
Indo-European,Faroese,føroyskt,fo,fao,fao,fao,
Austronesian,Fijian,vosa Vakaviti,fj,fij,fij,fij,
Uralic,Finnish,suomi suomen kieli,fi,fin,fin,fin,
Indo-European,French,français langue française,fr,fra,,fra,
Niger–Congo,Fulah,Fulfulde Pulaar Pular,ff,ful,ful,ful + , also known as Fula
Indo-European,Galician,Galego,gl,glg,glg,glg,
Kartvelian,Georgian,ქართულ�?ka,kat,,kat,,
Indo-European,German,Deutsch,de,deu,,deu,
Indo-European, Modern (1453-),ελληνικά,el,ell,,ell,
Tupian,Guarani,Avañe'�?gn,grn,grn,grn + ,macrolanguage,
Indo-European,Gujarati,ગુજરાતી,gu,guj,guj,guj,
Creole, Haitian Creole,Kreyòl ayisyen,ht,hat,hat,hat,
Afro-Asiatic,Hausa,,ha,hau,hau,hau,
Afro-Asiatic,Hebrew,,he,heb,heb,heb,Modern Hebrew.  Code changed in 1989 from original ISO 639:1988 iw.
Niger–Congo,Herero,Otjiherero,hz,her,her,her,
Indo-European,Hindi,हिन्दी हिंदी,hi,hin,hin,hin,
Austronesian,Hiri Motu,Hiri Motu,ho,hmo,hmo,hmo,
Uralic,Hungarian,magyar,hu,hun,hun,hun,
Constructed, (International Auxiliary Language Association),Interlingua,ia,ina,ina,ina,constructed by 
Austronesian,Indonesian,Bahasa Indonesia,id,ind,ind,ind,Covered by macrolanguage [ms/msa]. Changed in 1989 from original ISO 639:1988 in
Constructed, Occidental,Originally called Occidental; then Interlingue after WWII,ie,ile,ile,ile,constructed by 
Indo-European,Irish,Gaeilge,ga,gle,gle,gle,
Niger–Congo,Igbo,Asụs�?Igbo,ig,ibo,ibo,ibo,
Eskimo–Aleut,Inupiaq,Iñupiaq Iñupiatun,ik,ipk,ipk,ipk + ,macrolanguage
Constructed,Ido,Ido,io,ido,ido,ido,constructed by De Beaufront 1907 as variation of Esperanto
Indo-European,Icelandic,Íslenska,is,isl,,isl,
Indo-European,Italian,Italiano,it,ita,ita,ita,
Eskimo–Aleut,Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,iku,iku,iku + ,macrolanguage
Japonic,Japanese, (,ja,jpn,jpn,jpn,
Austronesian,Javanese,ꦧꦱꦗꦮ Basa Jawa,jv,jav,jav,jav,
